day_of_week,trip_id,date
Friday,53,23/08/2024
Friday,54,23/08/2024
Friday,55,23/08/2024
Saturday,26,24/08/2024
Saturday,27,24/08/2024
Saturday,28,24/08/2024
Saturday,29,24/08/2024
Saturday,30,24/08/2024
Saturday,32,24/08/2024
Saturday,33,24/08/2024
Saturday,34,24/08/2024
Saturday,35,24/08/2024
Saturday,36,24/08/2024
Saturday,38,24/08/2024
Saturday,39,24/08/2024
Saturday,41,24/08/2024
Saturday,42,24/08/2024
Saturday,44,24/08/2024
Saturday,45,24/08/2024
Saturday,47,24/08/2024
Saturday,48,24/08/2024
Saturday,50,24/08/2024
Saturday,51,24/08/2024
Saturday,52,24/08/2024
Saturday,53,24/08/2024
Saturday,54,24/08/2024
